No.;Time;Source;Destination;Protocol;Length;Info;;TIME 1;TIME 2;DELAY ;;DELAY 1;DELAY 2;JITTER
43;0,163917;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,163917;0,164332;0,000415;;-0,003002;0,003417;0,006419
44;0,164332;192.168.27.81;202.67.42.206;UDP;82;63764  >  443 Len=40;;0,164332;0,167749;0,003417;;0,003058;0,000359;-0,002699
45;0,167749;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,167749;0,168108;0,000359;;-0,004499;0,004858;0,009357
46;0,168108;192.168.27.81;202.67.42.206;UDP;82;63764  >  443 Len=40;;0,168108;0,172966;0,004858;;0,004504;0,000354;-0,00415
47;0,172966;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,172966;0,17332;0,000354;;-0,003331;0,003685;0,007016
48;0,17332;192.168.27.81;202.67.42.206;UDP;82;63764  >  443 Len=40;;0,17332;0,177005;0,003685;;-0,002273;0,005958;0,008231
49;0,177005;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,177005;0,182963;0,005958;;0,005657;0,000301;-0,005356
50;0,182963;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,182963;0,183264;0,000301;;-0,01046;0,010761;0,021221
51;0,183264;192.168.27.81;202.67.42.206;UDP;82;63764  >  443 Len=40;;0,183264;0,194025;0,010761;;0,004723;0,006038;0,001315
52;0,194025;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,194025;0,200063;0,006038;;0,002406;0,003632;0,001226
53;0,200063;192.168.27.81;202.67.42.206;UDP;83;63764  >  443 Len=41;;0,200063;0,203695;0,003632;;-0,002409;0,006041;0,00845
54;0,203695;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,203695;0,209736;0,006041;;-0,002275;0,008316;0,010591
55;0,209736;192.168.27.81;202.67.42.206;UDP;88;63764  >  443 Len=46;;0,209736;0,218052;0,008316;;0,002793;0,005523;0,00273
56;0,218052;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,218052;0,223575;0,005523;;0,004921;0,000602;-0,004319
57;0,223575;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,223575;0,224177;0,000602;;-0,005947;0,006549;0,012496
58;0,224177;192.168.27.81;202.67.42.206;UDP;82;63764  >  443 Len=40;;0,224177;0,230726;0,006549;;-0,000887;0,007436;0,008323
59;0,230726;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,230726;0,238162;0,007436;;0,00713;0,000306;-0,006824
